user_id,session_id,device_type,click_events,scroll_events,touch_events,keyboard_events,device_motion,time_on_page,screen_size,browser_info,language,timezone_offset,device_orientation,geolocation_city,transaction_amount,transaction_date,mouse_movement,label
user_102,session_0,Mobile,4,3,9,7,2.07,154,1920x1080,Edge,english,480,portrait,Unknown,121.06,2024-03-18 22:00:00,0,0
user_435,session_1,Mobile,6,6,5,6,0.17,10,1920x1080,Safari,english,0,portrait,Mumbai,508.39,2025-03-25 12:00:00,0,0
user_348,session_2,PC,6,12,0,11,0.0,41,1440x900,Firefox,foreign,60,portrait,Indore,8.7,2024-12-12 17:00:00,114,0
user_270,session_3,Mobile,9,6,4,8,0.86,70,1366x768,Edge,english,60,portrait,Unknown,294.68,2024-01-27 09:00:00,0,0
user_106,session_4,PC,3,10,0,12,0.0,14,1366x768,Chrome,foreign,480,none,Delhi,1649.47,2025-05-22 22:00:00,30,0
user_71,session_5,PC,10,11,0,18,0.0,123,1366x768,Chrome,english,-330,portrait,Delhi,899.59,2025-03-16 16:00:00,322,0
user_188,session_6,PC,11,17,0,19,0.0,10,1920x1080,Edge,foreign,0,portrait,Indore,1242.24,2024-06-30 18:00:00,29,0
user_20,session_7,Mobile,3,3,11,4,1.05,16,414x896,Safari,hindi,60,landscape,Mumbai,126.6,2024-04-06 04:00:00,0,0
user_102,session_8,Mobile,7,4,4,2,1.0,78,1920x1080,Edge,foreign,330,none,Indore,835.81,2025-01-01 22:00:00,0,0
user_121,session_9,Mobile,4,10,10,5,1.74,112,414x896,Firefox,english,0,landscape,Delhi,325.07,2025-01-15 09:00:00,0,0
user_466,session_10,PC,11,14,0,12,0.0,223,360x640,Safari,foreign,330,portrait,Indore,1750.31,2025-02-19 15:00:00,589,0
user_214,session_11,Mobile,5,1,9,3,0.67,110,1920x1080,Edge,hindi,480,none,Unknown,817.43,2025-05-14 09:00:00,0,0
user_330,session_12,PC,9,11,0,14,0.0,100,1920x1080,Firefox,english,60,none,Kolkata,1617.39,2024-03-31 03:00:00,251,0
user_458,session_13,Mobile,5,7,12,6,0.96,45,1920x1080,Chrome,hindi,-330,none,Unknown,194.93,2024-10-11 20:00:00,0,0
user_87,session_14,Mobile,5,8,6,6,1.27,10,1366x768,Edge,hindi,60,portrait,Bangalore,182.57,2024-08-06 08:00:00,0,0
user_372,session_15,PC,8,17,0,14,0.0,11,1366x768,Chrome,english,330,portrait,Kolkata,1323.36,2024-06-26 09:00:00,22,0
user_99,session_16,Mobile,7,6,5,4,1.68,68,414x896,Edge,english,0,none,Mumbai,3334.03,2024-08-04 16:00:00,0,0
user_359,session_17,Mobile,8,2,7,6,0.8,101,414x896,Chrome,english,480,portrait,Bangalore,2053.44,2025-01-15 03:00:00,0,0
user_151,session_18,PC,6,12,0,21,0.0,48,1920x1080,Chrome,hindi,-330,portrait,Delhi,2449.87,2024-12-17 14:00:00,129,0
user_130,session_19,Mobile,2,6,7,8,1.49,118,414x896,Chrome,english,330,landscape,Unknown,333.71,2025-06-24 23:00:00,0,0
user_149,session_20,PC,7,8,0,12,0.0,66,1366x768,Edge,foreign,-330,landscape,Indore,1066.67,2024-01-16 17:00:00,154,0
user_308,session_21,Mobile,3,11,10,6,2.01,10,414x896,Chrome,foreign,0,none,Indore,3237.49,2024-10-05 02:00:00,0,0
user_257,session_22,Mobile,9,7,5,2,1.94,19,360x640,Chrome,foreign,480,none,Indore,4133.44,2024-12-24 22:00:00,0,0
user_343,session_23,Mobile,4,6,7,7,1.24,164,1366x768,Safari,foreign,480,portrait,Indore,88.09,2025-01-31 17:00:00,0,0
user_491,session_24,Mobile,1,5,7,4,0.83,116,360x640,Chrome,english,480,none,Delhi,260.6,2024-11-04 07:00:00,0,0
user_413,session_25,Mobile,46,0,27,5,3.63,202,414x896,Firefox,foreign,60,landscape,Indore,163.45,2025-04-18 13:00:00,1944,1
user_293,session_26,PC,10,11,0,15,0.0,11,1440x900,Firefox,hindi,330,none,Mumbai,278.53,2024-02-07 13:00:00,26,0
user_385,session_27,Mobile,1,9,7,9,1.13,416,1920x1080,Safari,hindi,-330,portrait,Kolkata,256.8,2024-10-17 08:00:00,0,0
user_191,session_28,PC,5,10,0,21,0.0,21,1366x768,Firefox,hindi,0,landscape,Indore,965.32,2024-11-30 23:00:00,48,0
user_443,session_29,PC,5,11,0,22,0.0,10,360x640,Safari,english,60,landscape,Mumbai,611.04,2024-02-11 14:00:00,27,0
user_276,session_30,PC,9,8,0,15,0.0,536,1440x900,Firefox,hindi,330,none,Bangalore,125.94,2024-05-05 00:00:00,1330,0
user_160,session_31,PC,5,10,0,11,0.0,29,1440x900,Edge,foreign,480,none,Mumbai,584.0,2025-06-16 18:00:00,79,0
